base_year_month,sex,age_range,time_range,residence_population_count
201801,남성,10세 미만,1-2시,2088640.98
201801,남성,10세 미만,11-12시,1656660.14
201801,남성,10세 미만,13-14시,1539213.93
201801,남성,10세 미만,15-16시,1457142.69
201801,남성,10세 미만,17-18시,1444125.97
201801,남성,10세 미만,19-20시,1487650.79
201801,남성,10세 미만,21-22시,1562485.02
201801,남성,10세 미만,23-24시,1872202.86
201801,남성,10세 미만,3-4시,2085570.85
201801,남성,10세 미만,5-6시,2085118.04
201801,남성,10세 미만,7-8시,2020693.66
201801,남성,10세 미만,9-10시,1800275.31
201801,남성,19세 이하,1-2시,2467836.38
201801,남성,19세 이하,11-12시,1971936.32
201801,남성,19세 이하,13-14시,1838115.92
201801,남성,19세 이하,15-16시,1745298.84
201801,남성,19세 이하,17-18시,1731531.21
201801,남성,19세 이하,19-20시,1781712.08
201801,남성,19세 이하,21-22시,1866873.18
201801,남성,19세 이하,23-24시,2220965.38
201801,남성,19세 이하,3-4시,2464027.0
201801,남성,19세 이하,5-6시,2463480.29
201801,남성,19세 이하,7-8시,2388696.86
201801,남성,19세 이하,9-10시,2135454.14
201801,남성,29세 이하,1-2시,1893058.93
201801,남성,29세 이하,11-12시,1317038.76
201801,남성,29세 이하,13-14시,1227837.25
201801,남성,29세 이하,15-16시,1175643.08
201801,남성,29세 이하,17-18시,1205791.37
201801,남성,29세 이하,19-20시,1316493.42
201801,남성,29세 이하,21-22시,1408633.23
201801,남성,29세 이하,23-24시,1688230.22
201801,남성,29세 이하,3-4시,1922591.44
201801,남성,29세 이하,5-6시,1924261.35
201801,남성,29세 이하,7-8시,1788365.86
201801,남성,29세 이하,9-10시,1458564.98
201801,남성,39세 이하,1-2시,2469451.26
201801,남성,39세 이하,11-12시,1418232.42
201801,남성,39세 이하,13-14시,1310527.71
201801,남성,39세 이하,15-16시,1279463.09
201801,남성,39세 이하,17-18시,1383196.09
201801,남성,39세 이하,19-20시,1627789.6
201801,남성,39세 이하,21-22시,1803123.98
